tract_fips10,tract_name,tract_name_full,zipcode
"09009167201","1672.01",Census Tract 1672.01,"06473"
"09009186100","1861",Census Tract 1861,"06471"
"09009180100","1801",Census Tract 1801,"06512"
"09009170900","1709",Census Tract 1709,"06451"
"09009142000","1420",Census Tract 1420,"06511"
"09009343300","3433",Census Tract 3433,"06410"
"09009184300","1843",Census Tract 1843,"06405"
"09009151200","1512",Census Tract 1512,"06460"
"09009176000","1760",Census Tract 1760,"06492"
"09009167202","1672.02",Census Tract 1672.02,"06473"
"09009155000","1550",Census Tract 1550,"06516"
"09009351900","3519",Census Tract 3519,"06708"
"09009125200","1252",Census Tract 1252,"06401"
"09009167100","1671",Census Tract 1671,"06473"
"09009184200","1842",Census Tract 1842,"06405"
"09009160100","1601",Census Tract 1601,"06525"
"09005310803","3108.03",Census Tract 3108.03,"06790"
"09005310804","3108.04",Census Tract 3108.04,"06790"
"09009140900","1409",Census Tract 1409,"06511"
"09009190200","1902",Census Tract 1902,"06437"
"09009175800","1758",Census Tract 1758,"06492"
"09009344100","3441",Census Tract 3441,"06762"
"09009343101","3431.01",Census Tract 3431.01,"06410"
"09009351700","3517",Census Tract 3517,"06708"
"09009194100","1941",Census Tract 1941,"06443"
"09009130200","1302",Census Tract 1302,"06483"
"09009151100","1511",Census Tract 1511,"06460"
"09009348111","3481.11",Census Tract 3481.11,"06488"
"09009343400","3434",Census Tract 3434,"06410"
"09009150900","1509",Census Tract 1509,"06460"
"09009170100","1701",Census Tract 1701,"06450"
"09009157400","1574",Census Tract 1574,"06477"
"09009157100","1571",Census Tract 1571,"06477"
"09009361100","3611",Census Tract 3611,"06716"
"09005425400","4254",Census Tract 4254,"06786"
"09009345201","3452.01",Census Tract 3452.01,"06770"
"09009142800","1428",Census Tract 1428,"06512"
"09009190302","1903.02",Census Tract 1903.02,"06437"
"09005262100","2621",Census Tract 2621,"06069"
"09005310300","3103",Census Tract 3103,"06790"
"09005310801","3108.01",Census Tract 3108.01,"06790"
"09005360200","3602",Census Tract 3602,"06795"
"09005425500","4255",Census Tract 4255,"06786"
"09005260200","2602",Census Tract 2602,"06018"
"09005267100","2671",Census Tract 2671,"06794"
"09005298300","2983",Census Tract 2983,"06791"
"09005310700","3107",Census Tract 3107,"06790"
"09005360300","3603",Census Tract 3603,"06779"
"09009194201","1942.01",Census Tract 1942.01,"06443"
"09009171100","1711",Census Tract 1711,"06450"
"09009175400","1754",Census Tract 1754,"06492"
"09009190301","1903.01",Census Tract 1903.01,"06437"
"09009343102","3431.02",Census Tract 3431.02,"06410"
"09009344200","3442",Census Tract 3442,"06762"
"09009352300","3523",Census Tract 3523,"06704"
"09009154700","1547",Census Tract 1547,"06516"
"09009160200","1602",Census Tract 1602,"06525"
